Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
7,"M1,M2",GQ160525,Yes,982,H1N1,4/27/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/04/2009(H1N1)
5,NP,GQ160521,Yes,1497,H1N1,4/27/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/04/2009(H1N1)
4,HA,GQ160526,Yes,1701,H1N1,4/27/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/04/2009(H1N1)
8,"NS1,NS2",GQ457456,Yes,863,H1N1,4/27/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/04/2009(H1N1)
3,"PA,PA-X protein(+41)",GQ200204,Yes,2151,H1N1,4/27/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/04/2009(H1N1)
7,"M1,M2",KC780468,Yes,982,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
1,PB2,KC780474,Yes,2280,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
2,PB1,KC780471,Yes,2274,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
3,"PA,PA-X protein(+41)",KC780467,Yes,2151,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
8,"NS1,NS2",KC780473,Yes,863,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
5,NP,KC780472,Yes,1497,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
6,NA,KC780470,Yes,1410,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
4,HA,KC780469,Yes,1701,H1N1,11/4/2009,IRD:Human,USA,Florida,10-Sep,A/Florida/25/2009
8,NL,CY069337,Yes,853,H3N2,9-May,IRD:Human,USA,Florida,-N/A-,A/Florida/WRAIR1039P/2009
6,NL,CY069335,Yes,1432,H3N2,9-May,IRD:Human,USA,Florida,-N/A-,A/Florida/WRAIR1039P/2009
5,NP,CY093256,Yes,1537,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
7,"M1,M2",CY093258,Yes,999,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
1,PB2,CY093252,Yes,2310,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
4,HA,CY093255,Yes,1731,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
2,"PB1,PB1-F2",CY093253,Yes,2317,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
8,"NS1,NS2",CY093259,Yes,860,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
3,"PA,PA-X protein(+61)",CY093254,Yes,2192,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
6,NA,CY093257,Yes,1437,H3N2,5/1/2009,IRD:Human,USA,Florida,9-Aug,A/Florida/WRAIR1241P/2009(H3N2)
3,"PA,PA-X protein(+41)",CY071609*,Yes,2151,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
8,"NS1,NS2",CY071614*,Yes,846,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
1,PB2,CY071607*,Yes,2280,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
4,HA,CY071610*,Yes,1695,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
5,NP,CY071611*,Yes,1497,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
7,"M1,M2",CY071613*,Yes,982,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
2,PB1,CY071608*,Yes,2274,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
6,NA,CY071612*,Yes,1410,H1N1,10/13/2009,IRD:Human,USA,Colorado,10-Sep,A/Ft Carson/WR1448P/2009(H1N1)
8,"NS1,NS2",CY083443,Yes,844,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
1,PB2,CY083436,Yes,2280,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
4,HA,CY083439,Yes,1701,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
6,NA,CY083441,Yes,1410,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
3,"PA,PA-X protein(+41)",CY083438,Yes,2151,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
2,PB1,CY083437,Yes,2274,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
5,NP,CY083440,Yes,1497,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
7,"M1,M2",CY083442,Yes,982,H1N1,9/30/2009,IRD:Human,USA,Georgia,9-Aug,A/Ft.Benning/WRAIR1669P/2009
4,HA,CY132981,Yes,1719,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
1,PB2,CY132988,Yes,2316,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
8,"NS1,NS2",CY132985,Yes,865,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
3,"PA,PA-X protein(+61)",CY132986,Yes,2208,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
6,NA,CY132983,Yes,1428,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
7,"M1,M2",CY132982,Yes,1002,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
2,"PB1,PB1-F2",CY132987,Yes,2316,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
5,NP,CY132984,Yes,1536,H6N1,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3342/2010
6,NA,CY133007,Yes,1439,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
4,HA,CY133005,Yes,1709,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
2,"PB1,PB1-F2",CY133011,Yes,2316,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
5,NP,CY133008,Yes,1531,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
8,"NS1,NS2",CY133009,Yes,865,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
7,"M1,M2",CY133006,Yes,1002,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
1,PB2,CY133012,Yes,2307,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
3,"PA,PA-X protein(+61)",CY133010,Yes,2201,H11N2,10/30/2010,IRD:Gadwall/Avian,USA,Illinois,11-Oct,A/gadwall/Illinois/10OS3384/2010
8,"NS1,NS2",CY097522,Yes,865,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
5,NP,CY097521,Yes,1536,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
3,"PA,PA-X protein(+61)",CY097523,Yes,2208,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
1,PB2,CY097525,Yes,2307,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
2,"PB1,PB1-F2",CY097524,Yes,2316,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
7,"M1,M2",CY097519,Yes,1002,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
4,HA,CY097518,Yes,1717,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
6,NA,CY097520,Yes,1431,H6N1,11/15/2009,IRD:Gadwall/Avian,USA,Illinois,10-Sep,A/gadwall/Illinois/3860/2009(H6N1)
2,"PB1,PB1-F2",CY133478,Yes,2310,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
4,HA,CY133472,Yes,1740,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
8,"NS1,NS2",CY133476,Yes,865,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
7,"M1,M2",CY133473,Yes,1002,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
6,NA,CY133474,Yes,1421,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
3,"PA,PA-X protein(+61)",CY133477,Yes,2208,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
1,PB2,CY133479,Yes,2307,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
5,NP,CY133475,Yes,1536,H3N8,10/17/2010,IRD:Gadwall/Avian,USA,Iowa,11-Oct,A/gadwall/Iowa/10OS2753/2010
5,NP,CY133285,Yes,1536,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
2,"PB1,PB1-F2",CY133288,Yes,2316,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
1,PB2,CY133289,Yes,2307,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
3,"PA,PA-X protein(+61)",CY133287,Yes,2197,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
7,"M1,M2",CY133283,Yes,1002,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
6,NA,CY133284,Yes,1442,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
4,HA,CY133282,Yes,1719,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
8,"NS1,NS2",CY133286,Yes,865,H6N2,12/11/2010,IRD:Gadwall/Avian,USA,Mississippi,11-Oct,A/gadwall/Mississippi/10OS4531/2010
5,NP,CY133812,Yes,1537,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
3,"PA,PA-X protein(+61)",CY133814,Yes,2208,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
4,HA,CY133809,Yes,1742,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
8,"NS1,NS2",CY133813,Yes,865,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
1,PB2,CY133816,Yes,2307,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
2,"PB1,PB1-F2",CY133815,Yes,2316,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
6,NA,CY133811,Yes,1439,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
7,"M1,M2",CY133810,Yes,1002,H5N2,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO0280/2010
5,NP,CY133796,Yes,1536,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
3,"PA,PA-X protein(+61)",CY133798,Yes,2208,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
6,NA,CY133795,Yes,1433,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
2,"PB1,PB1-F2",CY133799,Yes,2316,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
7,"M1,M2",CY133794,Yes,1002,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
4,HA,CY133793,Yes,1719,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
8,"NS1,NS2",CY133797,Yes,865,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
1,PB2,CY133800,Yes,2316,H6N1,11/16/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10MO095/2010
5,NP,CY133411,Yes,1540,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
4,HA,CY133408,Yes,1706,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
7,"M1,M2",CY133409,Yes,1002,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
2,"PB1,PB1-F2",CY133414,Yes,2307,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
1,PB2,CY133415,Yes,2316,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
6,NA,CY133410,Yes,1428,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
8,"NS1,NS2",CY133412,Yes,865,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
3,"PA,PA-X protein(+61)",CY133413,Yes,2208,H7N3,12/12/2010,IRD:Gadwall/Avian,USA,Missouri,11-Oct,A/gadwall/Missouri/10OS4731/2010
8,"NS1,NS2",CY139267,Yes,865,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
7,"M1,M2",CY139264,Yes,1002,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
6,NA,CY139265,Yes,1413,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
5,NP,CY139266,Yes,1531,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
1,PB2,CY139270,Yes,2316,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
2,"PB1,PB1-F2",CY139269,Yes,2316,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
4,HA,CY139263,Yes,1725,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
3,"PA,PA-X protein(+61)",CY139268,Yes,2192,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00783/2010
3,"PA,PA-X protein(+61)",CY139276,Yes,2192,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
4,HA,CY139271,Yes,1725,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
5,NP,CY139274,Yes,1531,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
6,NA,CY139273,Yes,1413,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
2,"PB1,PB1-F2",CY139277,Yes,2316,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
7,"M1,M2",CY139272,Yes,1002,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
8,"NS1,NS2",CY139275,Yes,865,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
1,PB2,CY139278,Yes,2316,H3N8,9/7/2010,IRD:Gadwall/Avian,Canada,-N/A-,-N/A-,A/gadwall/Nova Scotia/00786/2010
3,"PA,PA-X protein(+41)",KC780243,Yes,2151,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
5,NP,KC780244,Yes,1497,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
1,PB2,KC780242,Yes,2280,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
4,HA,KC780239,Yes,1701,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
7,"M1,M2",KC780240,Yes,982,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
6,NA,KC780241,Yes,1410,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
8,"NS1,NS2",KC780237,Yes,863,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
2,PB1,KC780238,Yes,2274,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/01/2010
7,"M1,M2",KC781264,Yes,982,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
4,HA,KC781263,Yes,1701,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
3,"PA,PA-X protein(+41)",KC781261,Yes,2151,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
2,PB1,KC781260,Yes,2274,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
6,NA,KC781267,Yes,1410,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
5,NP,KC781266,Yes,1497,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
8,"NS1,NS2",KC781265,Yes,863,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
1,PB2,KC781262,Yes,2280,H1N1,2/6/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/04/2010
3,"PA,PA-X protein(+41)",KC781253,Yes,2151,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
2,PB1,KC781249,Yes,2274,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
5,NP,KC781250,Yes,1497,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
1,PB2,KC781254,Yes,2280,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
8,"NS1,NS2",KC781252,Yes,863,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
6,NA,KC781256,Yes,1410,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
4,HA,KC781255,Yes,1701,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
7,"M1,M2",KC781251,Yes,982,H1N1,2/5/2010,IRD:Human,USA,Georgia,10-Sep,A/Georgia/06/2010
3,"PA,PA-X protein(+41)",KC781695,Yes,2151,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
8,"NS1,NS2",KC781692,Yes,863,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
5,NP,KC781698,Yes,1497,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
1,PB2,KC781694,Yes,2280,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
2,PB1,KC781699,Yes,2274,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
6,NA,KC781693,Yes,1410,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
7,"M1,M2",KC781696,Yes,982,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
4,HA,KC781697,Yes,1701,H1N1,7/6/2009,IRD:Human,USA,Georgia,9-Aug,A/Georgia/08/2009
8,"NS1,NS2",KC782334,Yes,863,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
1,PB2,KC780319,Yes,2280,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
5,NP,KC780316,Yes,1497,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
4,HA,KC780322,Yes,1701,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
7,"M1,M2",KC780321,Yes,982,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
3,"PA,PA-X protein(+41)",KC780317,Yes,2151,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
2,PB1,KC780318,Yes,2274,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
6,NA,KC780320,Yes,1410,H1N1,12/28/2009,IRD:Human,USA,Georgia,10-Sep,A/Georgia/25/2009
8,"NS1,NS2",CY092908,Yes,850,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
2,PB1,CY092910,Yes,2303,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
3,"PA,PA-X protein(+41)",CY092909,Yes,2175,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
7,"M1,M2",CY092905,Yes,987,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
5,NP,CY092907,Yes,1523,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
1,PB2,CY092911,Yes,2293,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
4,HA,CY092904,Yes,1734,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
6,NA,CY092906,Yes,1420,H1N1,1/27/2011,IRD:Human,USA,Georgia,11-Oct,A/Georgia/NHRC0001/2011
8,"NS1,NS2",CY130497,Yes,865,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
1,PB2,CY130500,Yes,2316,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
4,HA,CY130493,Yes,1732,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
5,NP,CY130496,Yes,1507,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
6,NA,CY130495,Yes,1410,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
7,"M1,M2",CY130494,Yes,1002,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
3,"PA,PA-X protein(+61)",CY130498,Yes,2208,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
2,"PB1,PB1-F2",CY130499,Yes,2274,H16N3,8/13/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010
7,"M1,M2",CY130502,Yes,1002,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
1,PB2,CY130508,Yes,2316,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
3,"PA,PA-X protein(+61)",CY130506,Yes,2208,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
4,HA,CY130501,Yes,1732,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
8,"NS1,NS2",CY130505,Yes,851,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
5,NP,CY130504,Yes,1507,H16N3,9/8/2010,IRD:Gull/Avian,USA,Unknown,-N/A-,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010
