CY135326,CY135325,CY135324,CY135319,CY135322,CY135321,CY135320,CY135323
CY136085,CY136084,CY136083,CY136078,CY136081,CY136080,CY136079,CY136082
CY141456,CY141455,CY141454,CY141449,CY141452,CY141451,CY141450,CY141453
CY143049,CY143048,CY143047,CY143042,CY143045,CY143044,CY143043,CY143046
CY143089,CY143088,CY143087,CY143082,CY143085,CY143084,CY143083,CY143086
CY142169,CY142168,CY142167,CY142162,CY142165,CY142164,CY142163,CY142166
CY142865,CY142864,CY142863,CY142858,CY142861,CY142860,CY142859,CY142862
CY143129,CY143128,CY143127,CY143122,CY143125,CY143124,CY143123,CY143126
CY143137,CY143136,CY143135,CY143130,CY143133,CY143132,CY143131,CY143134
CY130379,CY130378,CY130377,CY130372,CY130375,CY130374,CY130373,CY130376
CY143747,CY143746,CY143745,CY143740,CY143743,CY143742,CY143741,CY143744
CY130371,CY130370,CY130369,CY130364,CY130367,CY130366,CY130365,CY130368
CY130387,CY130386,CY130385,CY130380,CY130383,CY130382,CY130381,CY130384
CY130444,CY130443,CY130442,CY130437,CY130440,CY130439,CY130438,CY130441
CY130468,CY130467,CY130466,CY130461,CY130464,CY130463,CY130462,CY130465
CY135598,CY135597,CY135596,CY135591,CY135594,CY135593,CY135592,CY135595
CY135606,CY135605,CY135604,CY135599,CY135602,CY135601,CY135600,CY135603
CY135614,CY135613,CY135612,CY135607,CY135610,CY135609,CY135608,CY135611
CY135622,CY135621,CY135620,CY135615,CY135618,CY135617,CY135616,CY135619
CY135630,CY135629,CY135628,CY135623,CY135626,CY135625,CY135624,CY135627
CY135694,CY135693,CY135692,CY135687,CY135690,CY135689,CY135688,CY135691
CY135662,CY135661,CY135660,CY135655,CY135658,CY135657,CY135656,CY135659
CY135818,CY135817,CY135816,CY135811,CY135814,CY135813,CY135812,CY135815
CY135826,CY135825,CY135824,CY135819,CY135822,CY135821,CY135820,CY135823
CY135834,CY135833,CY135832,CY135827,CY135830,CY135829,CY135828,CY135831
CY135702,CY135701,CY135700,CY135695,CY135698,CY135697,CY135696,CY135699
CY135720,CY135719,CY135718,CY135713,CY135716,CY135715,CY135714,CY135717
CY135728,CY135727,CY135726,CY135721,CY135724,CY135723,CY135722,CY135725
CY135970,CY135969,CY135968,CY135963,CY135966,CY135965,CY135964,CY135967
CY135874,CY135873,CY135872,CY135867,CY135870,CY135869,CY135868,CY135871
CY135882,CY135881,CY135880,CY135875,CY135878,CY135877,CY135876,CY135879
CY135890,CY135889,CY135888,CY135883,CY135886,CY135885,CY135884,CY135887
CY135898,CY135897,CY135896,CY135891,CY135894,CY135893,CY135892,CY135895
CY135906,CY135905,CY135904,CY135899,CY135902,CY135901,CY135900,CY135903
CY135914,CY135913,CY135912,CY135907,CY135910,CY135909,CY135908,CY135911
CY143515,CY143514,CY143513,CY143508,CY143511,CY143510,CY143509,CY143512
CY136010,CY136009,CY136008,CY136003,CY136006,CY136005,CY136004,CY136007
CY135922,CY135921,CY135920,CY135915,CY135918,CY135917,CY135916,CY135919
CY135930,CY135929,CY135928,CY135923,CY135926,CY135925,CY135924,CY135927
CY135938,CY135937,CY135936,CY135931,CY135934,CY135933,CY135932,CY135935
CY136018,CY136017,CY136016,CY136011,CY136014,CY136013,CY136012,CY136015
CY136002,CY136001,CY136000,CY135995,CY135998,CY135997,CY135996,CY135999
CY141829,CY141828,CY141827,CY141822,CY141825,CY141824,CY141823,CY141826
CY141957,CY141956,CY141955,CY141950,CY141953,CY141952,CY141951,CY141954
CY135954,CY135953,CY135952,CY135947,CY135950,CY135949,CY135948,CY135951
CY135962,CY135961,CY135960,CY135955,CY135958,CY135957,CY135956,CY135959
CY141538,CY141537,CY141536,CY141531,CY141534,CY141533,CY141532,CY141535
CY141546,CY141545,CY141544,CY141539,CY141542,CY141541,CY141540,CY141543
CY141554,CY141553,CY141552,CY141547,CY141550,CY141549,CY141548,CY141551
CY141562,CY141561,CY141560,CY141555,CY141558,CY141557,CY141556,CY141559
CY141627,CY141626,CY141625,CY141620,CY141623,CY141622,CY141621,CY141624
CY143731,CY143730,CY143729,CY143724,CY143727,CY143726,CY143725,CY143728
CY143739,CY143738,CY143737,CY143732,CY143735,CY143734,CY143733,CY143736
CY141635,CY141634,CY141633,CY141628,CY141631,CY141630,CY141629,CY141632
CY141677,CY141676,CY141675,CY141670,CY141673,CY141672,CY141671,CY141674
CY143539,CY143538,CY143537,CY143532,CY143535,CY143534,CY143533,CY143536
CY141669,CY141668,CY141667,CY141662,CY141665,CY141664,CY141663,CY141666
CY141781,CY141780,CY141779,CY141774,CY141777,CY141776,CY141775,CY141778
CY143659,CY143658,CY143657,CY143652,CY143655,CY143654,CY143653,CY143656
CY143667,CY143666,CY143665,CY143660,CY143663,CY143662,CY143661,CY143664
CY141709,CY141708,CY141707,CY141702,CY141705,CY141704,CY141703,CY141706
CY141717,CY141716,CY141715,CY141710,CY141713,CY141712,CY141711,CY141714
CY141725,CY141724,CY141723,CY141718,CY141721,CY141720,CY141719,CY141722
CY141893,CY141892,CY141891,CY141886,CY141889,CY141888,CY141887,CY141890
CY143699,CY143698,CY143697,CY143692,CY143695,CY143694,CY143693,CY143696
CY143707,CY143706,CY143705,CY143700,CY143703,CY143702,CY143701,CY143704
CY143715,CY143714,CY143713,CY143708,CY143711,CY143710,CY143709,CY143712
CY143723,CY143722,CY143721,CY143716,CY143719,CY143718,CY143717,CY143720
CY141757,CY141756,CY141755,CY141750,CY141753,CY141752,CY141751,CY141754
CY141765,CY141764,CY141763,CY141758,CY141761,CY141760,CY141759,CY141762
CY141773,CY141772,CY141771,CY141766,CY141769,CY141768,CY141767,CY141770
CY141805,CY141804,CY141803,CY141798,CY141801,CY141800,CY141799,CY141802
CY136340,CY136339,CY136338,CY136333,CY136336,CY136335,CY136334,CY136337
CY136348,CY136347,CY136346,CY136341,CY136344,CY136343,CY136342,CY136345
CY143811,CY143810,CY143809,CY143804,CY143807,CY143806,CY143805,CY143808
CY143819,CY143818,CY143817,CY143812,CY143815,CY143814,CY143813,CY143816
CY143827,CY143826,CY143825,CY143820,CY143823,CY143822,CY143821,CY143824
CY141845,CY141844,CY141843,CY141838,CY141841,CY141840,CY141839,CY141842
CY143860,CY143859,CY143858,CY143853,CY143856,CY143855,CY143854,CY143857
CY141909,CY141908,CY141907,CY141902,CY141905,CY141904,CY141903,CY141906
CY141917,CY141916,CY141915,CY141910,CY141913,CY141912,CY141911,CY141914
CY143868,CY143867,CY143866,CY143861,CY143864,CY143863,CY143862,CY143865
CY141925,CY141924,CY141923,CY141918,CY141921,CY141920,CY141919,CY141922
CY143892,CY143891,CY143890,CY143885,CY143888,CY143887,CY143886,CY143889
CY143900,CY143899,CY143898,CY143893,CY143896,CY143895,CY143894,CY143897
CY143908,CY143907,CY143906,CY143901,CY143904,CY143903,CY143902,CY143905
CY143916,CY143915,CY143914,CY143909,CY143912,CY143911,CY143910,CY143913
CY143924,CY143923,CY143922,CY143917,CY143920,CY143919,CY143918,CY143921
CY144102,CY144101,CY144100,CY144095,CY144098,CY144097,CY144096,CY144099
CY143932,CY143931,CY143930,CY143925,CY143928,CY143927,CY143926,CY143929
CY143940,CY143939,CY143938,CY143933,CY143936,CY143935,CY143934,CY143937
CY141989,CY141988,CY141987,CY141982,CY141985,CY141984,CY141983,CY141986
CY143958,CY143957,CY143956,CY143951,CY143954,CY143953,CY143952,CY143955
CY143990,CY143989,CY143988,CY143983,CY143986,CY143985,CY143984,CY143987
CY143998,CY143997,CY143996,CY143991,CY143994,CY143993,CY143992,CY143995
CY144006,CY144005,CY144004,CY143999,CY144002,CY144001,CY144000,CY144003
CY144014,CY144013,CY144012,CY144007,CY144010,CY144009,CY144008,CY144011
CY144022,CY144021,CY144020,CY144015,CY144018,CY144017,CY144016,CY144019
CY144030,CY144029,CY144028,CY144023,CY144026,CY144025,CY144024,CY144027
CY144038,CY144037,CY144036,CY144031,CY144034,CY144033,CY144032,CY144035
CY144046,CY144045,CY144044,CY144039,CY144042,CY144041,CY144040,CY144043
CY144054,CY144053,CY144052,CY144047,CY144050,CY144049,CY144048,CY144051
CY141514,CY141513,CY141512,CY141507,CY141510,CY141509,CY141508,CY141511
CY144062,CY144061,CY144060,CY144055,CY144058,CY144057,CY144056,CY144059
CY144070,CY144069,CY144068,CY144063,CY144066,CY144065,CY144064,CY144067
CY144078,CY144077,CY144076,CY144071,CY144074,CY144073,CY144072,CY144075
CY144086,CY144085,CY144084,CY144079,CY144082,CY144081,CY144080,CY144083
CY141522,CY141521,CY141520,CY141515,CY141518,CY141517,CY141516,CY141519
CY135462,CY135461,CY135460,CY135455,CY135458,CY135457,CY135456,CY135459
CY135406,CY135405,CY135404,CY135399,CY135402,CY135401,CY135400,CY135403
CY135534,CY135533,CY135532,CY135527,CY135530,CY135529,CY135528,CY135531
CY135542,CY135541,CY135540,CY135535,CY135538,CY135537,CY135536,CY135539
CY135558,CY135557,CY135556,CY135551,CY135554,CY135553,CY135552,CY135555
CY142013,CY142012,CY142011,CY142006,CY142009,CY142008,CY142007,CY142010
CY142433,CY142432,CY142431,CY142426,CY142429,CY142428,CY142427,CY142430
CY142441,CY142440,CY142439,CY142434,CY142437,CY142436,CY142435,CY142438
CY142617,CY142616,CY142615,CY142610,CY142613,CY142612,CY142611,CY142614
CY142633,CY142632,CY142631,CY142626,CY142629,CY142628,CY142627,CY142630
CY142032,CY142031,CY142030,CY142025,CY142028,CY142027,CY142026,CY142029
CY142048,CY142047,CY142046,CY142041,CY142044,CY142043,CY142042,CY142045
CY142072,CY142071,CY142070,CY142065,CY142068,CY142067,CY142066,CY142069
CY142977,CY142976,CY142975,CY142970,CY142973,CY142972,CY142971,CY142974
CY130476,CY130475,CY130474,CY130469,CY130472,CY130471,CY130470,CY130473
CY135678,CY135677,CY135676,CY135671,CY135674,CY135673,CY135672,CY135675
CY136050,CY136049,CY136048,CY136043,CY136046,CY136045,CY136044,CY136047
CY136026,CY136025,CY136024,CY136019,CY136022,CY136021,CY136020,CY136023
CY143531,CY143530,CY143529,CY143524,CY143527,CY143526,CY143525,CY143528
CY135736,CY135735,CY135734,CY135729,CY135732,CY135731,CY135730,CY135733
CY143555,CY143554,CY143553,CY143548,CY143551,CY143550,CY143549,CY143552
CY143491,CY143490,CY143489,CY143484,CY143487,CY143486,CY143485,CY143488
CY143507,CY143506,CY143505,CY143500,CY143503,CY143502,CY143501,CY143504
CY143523,CY143522,CY143521,CY143516,CY143519,CY143518,CY143517,CY143520
CY143563,CY143562,CY143561,CY143556,CY143559,CY143558,CY143557,CY143560
CY143571,CY143570,CY143569,CY143564,CY143567,CY143566,CY143565,CY143568
CY143579,CY143578,CY143577,CY143572,CY143575,CY143574,CY143573,CY143576
CY143587,CY143586,CY143585,CY143580,CY143583,CY143582,CY143581,CY143584
CY130452,CY130451,CY130450,CY130445,CY130448,CY130447,CY130446,CY130449
CY130460,CY130459,CY130458,CY130453,CY130456,CY130455,CY130454,CY130457
CY135842,CY135841,CY135840,CY135835,CY135838,CY135837,CY135836,CY135839
CY135850,CY135849,CY135848,CY135843,CY135846,CY135845,CY135844,CY135847
CY125765,CY125764,CY125763,CY125758,CY125761,CY125760,CY125759,CY125762
CY143153,CY143152,CY143151,CY143146,CY143149,CY143148,CY143147,CY143150
CY143161,CY143160,CY143159,CY143154,CY143157,CY143156,CY143155,CY143158
CY143169,CY143168,CY143167,CY143162,CY143165,CY143164,CY143163,CY143166
CY143177,CY143176,CY143175,CY143170,CY143173,CY143172,CY143171,CY143174
CY143185,CY143184,CY143183,CY143178,CY143181,CY143180,CY143179,CY143182
CY143193,CY143192,CY143191,CY143186,CY143189,CY143188,CY143187,CY143190
CY141382,CY141381,CY141380,0,CY141378,CY141377,CY141376,CY141379
CY143201,CY143200,CY143199,CY143194,CY143197,CY143196,CY143195,CY143198
CY143217,CY143216,CY143215,CY143210,CY143213,CY143212,CY143211,CY143214
CY143225,CY143224,CY143223,CY143218,CY143221,CY143220,CY143219,CY143222
CY143233,CY143232,CY143231,CY143226,CY143229,CY143228,CY143227,CY143230
CY143241,CY143240,CY143239,CY143234,CY143237,CY143236,CY143235,CY143238
CY143313,CY143312,CY143311,CY143306,CY143309,CY143308,CY143307,CY143310
CY143321,CY143320,CY143319,CY143314,CY143317,CY143316,CY143315,CY143318
CY143451,CY143450,CY143449,CY143444,CY143447,CY143446,CY143445,CY143448
CY130331,CY130330,CY130329,CY130324,CY130327,CY130326,CY130325,CY130328
CY079785,CY079784,CY079783,CY079778,CY079781,CY079780,CY079779,CY079782
CY079877,CY079876,CY079875,CY079870,CY079873,CY079872,CY079871,CY079874
CY130363,CY130362,CY130361,CY130356,CY130359,CY130358,CY130357,CY130360
CY079885,CY079884,CY079883,CY079878,CY079881,CY079880,CY079879,CY079882
CY130339,CY130338,CY130337,CY130332,CY130335,CY130334,CY130333,CY130336
CY130295,CY130294,CY130293,CY130288,CY130291,CY130290,CY130289,CY130292
CY130311,CY130310,CY130309,CY130304,CY130307,CY130306,CY130305,CY130308
CY135342,CY135341,CY135340,CY135335,CY135338,CY135337,CY135336,CY135339
CY135358,CY135357,CY135356,CY135351,CY135354,CY135353,CY135352,CY135355
CY135390,CY135389,CY135388,CY135383,CY135386,CY135385,CY135384,CY135387
